Iteration;Ville;Temps_ms
1;Paris;10
2;Bordeaux;18
3;Bordeaux;17
4;Paris;16
5;Paris;17
6;Bordeaux;17
7;Toulouse;14
8;Bordeaux;11
9;Toulouse;12
10;Toulouse;18
11;Paris;17
12;Bordeaux;15
13;Bordeaux;16
14;Toulouse;17
15;Bordeaux;15
16;Toulouse;13
17;Toulouse;16
18;Toulouse;11
19;Toulouse;11
20;Bordeaux;11
21;Bordeaux;11
22;Paris;16
23;Bordeaux;11
24;Paris;17
25;Bordeaux;17
26;Toulouse;10
27;Toulouse;16
28;Toulouse;11
29;Toulouse;10
30;Paris;11
31;Toulouse;10
32;Paris;9
33;Bordeaux;11
34;Paris;11
35;Paris;17
36;Toulouse;11
37;Bordeaux;17
38;Bordeaux;11
39;Toulouse;16
40;Bordeaux;13
41;Bordeaux;18
42;Toulouse;13
43;Paris;9
44;Paris;11
45;Bordeaux;11
46;Bordeaux;10
47;Toulouse;12
48;Toulouse;17
49;Paris;13
50;Toulouse;10
51;Paris;11
52;Toulouse;13
53;Paris;11
54;Bordeaux;10
55;Toulouse;12
56;Bordeaux;14
57;Bordeaux;12
58;Paris;11
59;Paris;11
60;Toulouse;17
61;Toulouse;13
62;Bordeaux;16
63;Paris;17
64;Toulouse;13
65;Paris;14
66;Bordeaux;8
67;Bordeaux;14
68;Paris;10
69;Bordeaux;11
70;Paris;12
71;Bordeaux;11
72;Bordeaux;10
73;Toulouse;9
74;Toulouse;11
75;Paris;11
76;Paris;10
77;Bordeaux;17
78;Paris;14
79;Bordeaux;11
80;Bordeaux;14
81;Toulouse;10
82;Toulouse;9
83;Toulouse;14
84;Toulouse;12
85;Bordeaux;10
86;Bordeaux;15
87;Bordeaux;12
88;Toulouse;11
89;Paris;16
90;Paris;11
91;Paris;10
92;Bordeaux;11
93;Toulouse;14
94;Toulouse;11
95;Toulouse;11
96;Paris;13
97;Paris;9
98;Bordeaux;12
99;Bordeaux;16
100;Toulouse;16
